LOB,1,2,3,4_5,6_8,9_20,20
RES,400000,600000,1000000,1400000,2000000,4000000,8000000
COM,300000,450000,750000,1050000,1500000,3000000,6000000
IND,3000000,3500000,4000000,4500000,5000000,8000000,10000000
